borough,animal_recovered,year_and_month
barking and dagenham,not recovered,aug-2013
enfield,not recovered,aug-2013
barnet,not recovered,aug-2013
barnet,not recovered,aug-2013
richmond upon thames,recovered,aug-2013
bromley,not recovered,aug-2013
greenwich,not recovered,sep-2013
waltham forest,recovered,sep-2013
bexley,not recovered,sep-2013
hounslow,recovered,sep-2013
islington,not recovered,sep-2013
southwark,not recovered,sep-2013
hammersmith and fulham,recovered,sep-2013
wandsworth,not recovered,oct-2013
ealing,recovered,oct-2013
hammersmith and fulham,recovered,oct-2013
bexley,not recovered,oct-2013
tower hamlets,not recovered,oct-2013
waltham forest,not recovered,oct-2013
hillingdon,not recovered,oct-2013
tower hamlets,not recovered,oct-2013
haringey,not recovered,oct-2013
bexley,not recovered,oct-2013
bexley,not recovered,oct-2013
bexley,not recovered,oct-2013
bexley,not recovered,oct-2013
bexley,not recovered,oct-2013
bexley,not recovered,oct-2013
bexley,not recovered,oct-2013
bexley,not recovered,oct-2013
enfield,not recovered,oct-2013
kingston upon thames,not recovered,nov-2013
barnet,recovered,nov-2013
haringey,not recovered,nov-2013
kingston upon thames,not recovered,nov-2013
merton,recovered,nov-2013
barking and dagenham,not recovered,nov-2013
barking and dagenham,recovered,nov-2013
redbridge,not recovered,nov-2013
merton,not recovered,nov-2013
hammersmith and fulham,not recovered,nov-2013
harrow,not recovered,nov-2013
bromley,not recovered,nov-2013
ealing,not recovered,nov-2013
ealing,not recovered,dec-2013
hackney,not recovered,dec-2013
hillingdon,not recovered,dec-2013
hillingdon,not recovered,dec-2013
sutton,not recovered,dec-2013
hackney,not recovered,dec-2013
enfield,not recovered,dec-2013
bromley,not recovered,dec-2013
croydon,not recovered,dec-2013
hillingdon,recovered,dec-2013
southwark,recovered,dec-2013
hillingdon,not recovered,dec-2013
haringey,not recovered,dec-2013
barnet,not recovered,dec-2013
kensington and chelsea,not recovered,dec-2013
wandsworth,recovered,dec-2013
richmond upon thames,not recovered,dec-2013
hackney,not recovered,jan-2014
redbridge,not recovered,jan-2014
croydon,not recovered,jan-2014
wandsworth,recovered,jan-2014
barnet,not recovered,jan-2014
westminster,not recovered,jan-2014
southwark,not recovered,jan-2014
haringey,not recovered,jan-2014
newham,not recovered,jan-2014
sutton,not recovered,jan-2014
hillingdon,not recovered,jan-2014
havering,not recovered,jan-2014
wandsworth,not recovered,jan-2014
ealing,not recovered,jan-2014
enfield,not recovered,jan-2014
sutton,not recovered,feb-2014
westminster,not recovered,feb-2014
hackney,not recovered,feb-2014
greenwich,not recovered,feb-2014
hackney,recovered,feb-2014
hackney,not recovered,feb-2014
barnet,not recovered,feb-2014
bexley,not recovered,feb-2014
hillingdon,not recovered,feb-2014
bromley,recovered,feb-2014
waltham forest,not recovered,feb-2014
southwark,not recovered,feb-2014
bromley,not recovered,feb-2014
croydon,recovered,mar-2014
lewisham,not recovered,mar-2014
bromley,not recovered,mar-2014
merton,not recovered,mar-2014
barnet,not recovered,mar-2014
barking and dagenham,not recovered,mar-2014
barking and dagenham,not recovered,mar-2014
lambeth,not recovered,mar-2014
hounslow,not recovered,mar-2014
hillingdon,not recovered,mar-2014
newham,not recovered,mar-2014
camden,not recovered,mar-2014
barnet,not recovered,mar-2014
barnet,not recovered,mar-2014
havering,not recovered,mar-2014
barking and dagenham,not recovered,mar-2014
lambeth,recovered,mar-2014
southwark,not recovered,mar-2014
southwark,not recovered,mar-2014
southwark,not recovered,mar-2014
lambeth,not recovered,mar-2014
wandsworth,recovered,mar-2014
hounslow,not recovered,mar-2014
greenwich,not recovered,mar-2014
hillingdon,not recovered,mar-2014
barking and dagenham,not recovered,mar-2014
barnet,not recovered,mar-2014
redbridge,recovered,mar-2014
hounslow,not recovered,mar-2014
hounslow,not recovered,mar-2014
croydon,not recovered,mar-2014
sutton,not recovered,mar-2014
havering,not recovered,apr-2014
hammersmith and fulham,not recovered,apr-2014
bromley,not recovered,apr-2014
redbridge,recovered,apr-2014
bromley,not recovered,apr-2014
waltham forest,not recovered,apr-2014
bromley,not recovered,apr-2014
barking and dagenham,recovered,apr-2014
brent,recovered,apr-2014
lambeth,not recovered,may-2014
enfield,not recovered,may-2014
croydon,not recovered,may-2014
croydon,not recovered,may-2014
croydon,not recovered,may-2014
hillingdon,not recovered,may-2014
greenwich,recovered,may-2014
bromley,not recovered,may-2014
bexley,not recovered,may-2014
kensington and chelsea,not recovered,may-2014
lewisham,not recovered,may-2014
hackney,not recovered,may-2014
waltham forest,not recovered,may-2014
westminster,not recovered,may-2014
kingston upon thames,not recovered,may-2014
lewisham,recovered,may-2014
redbridge,not recovered,jun-2014
hammersmith and fulham,not recovered,jun-2014
lambeth,not recovered,jun-2014
tower hamlets,not recovered,jun-2014
hounslow,not recovered,jun-2014
bromley,not recovered,jun-2014
barking and dagenham,not recovered,jun-2014
bromley,not recovered,jun-2014
southwark,not recovered,jun-2014
barking and dagenham,not recovered,jun-2014
tower hamlets,not recovered,jun-2014
tower hamlets,not recovered,jun-2014
tower hamlets,not recovered,jun-2014
greenwich,not recovered,jun-2014
camden,not recovered,jun-2014
barnet,not recovered,jul-2014
enfield,not recovered,jul-2014
enfield,not recovered,jul-2014
barking and dagenham,not recovered,jul-2014
greenwich,not recovered,jul-2014
greenwich,not recovered,jul-2014
greenwich,not recovered,jul-2014
greenwich,not recovered,jul-2014
enfield,recovered,jul-2014
hillingdon,not recovered,jul-2014
hounslow,not recovered,jul-2014
bromley,not recovered,jul-2014
havering,not recovered,jul-2014
islington,recovered,jul-2014
hillingdon,not recovered,jul-2014
brent,not recovered,jul-2014
tower hamlets,not recovered,jul-2014
westminster,not recovered,jul-2014
newham,not recovered,jul-2014
croydon,not recovered,jul-2014
hammersmith and fulham,not recovered,jul-2014
hackney,not recovered,jul-2014
enfield,not recovered,jul-2014
haringey,not recovered,aug-2014
lewisham,not recovered,aug-2014
waltham forest,not recovered,aug-2014
richmond upon thames,recovered,aug-2014
redbridge,not recovered,aug-2014
hackney,not recovered,aug-2014
islington,not recovered,aug-2014
redbridge,not recovered,aug-2014
camden,not recovered,aug-2014
enfield,not recovered,aug-2014
newham,not recovered,aug-2014
bexley,not recovered,aug-2014
brent,not recovered,aug-2014
kensington and chelsea,not recovered,aug-2014
hackney,not recovered,aug-2014
lewisham,not recovered,aug-2014
sutton,not recovered,aug-2014
croydon,not recovered,aug-2014
enfield,recovered,aug-2014
waltham forest,not recovered,aug-2014
ealing,not recovered,aug-2014
brent,not recovered,sep-2014
haringey,not recovered,sep-2014
ealing,recovered,sep-2014
kensington and chelsea,recovered,sep-2014
bromley,not recovered,sep-2014
bromley,not recovered,sep-2014
southwark,not recovered,sep-2014
brent,not recovered,sep-2014
lambeth,not recovered,sep-2014
camden,not recovered,sep-2014
waltham forest,recovered,sep-2014
bexley,not recovered,sep-2014
wandsworth,not recovered,sep-2014
islington,not recovered,oct-2014
tower hamlets,not recovered,oct-2014
sutton,not recovered,oct-2014
wandsworth,not recovered,oct-2014
hackney,not recovered,oct-2014
hackney,not recovered,oct-2014
hackney,not recovered,oct-2014
enfield,not recovered,oct-2014
brent,not recovered,oct-2014
southwark,not recovered,oct-2014
waltham forest,not recovered,oct-2014
camden,not recovered,oct-2014
greenwich,not recovered,oct-2014
barking and dagenham,not recovered,oct-2014
brent,not recovered,oct-2014
islington,not recovered,oct-2014
croydon,not recovered,oct-2014
tower hamlets,recovered,oct-2014
enfield,not recovered,nov-2014
kensington and chelsea,not recovered,nov-2014
waltham forest,recovered,nov-2014
barking and dagenham,not recovered,nov-2014
lambeth,not recovered,nov-2014
hackney,not recovered,nov-2014
barnet,not recovered,nov-2014
southwark,not recovered,nov-2014
newham,not recovered,nov-2014
newham,not recovered,nov-2014
croydon,not recovered,nov-2014
lewisham,not recovered,nov-2014
haringey,recovered,nov-2014
ealing,not recovered,nov-2014
enfield,not recovered,nov-2014
bromley,not recovered,dec-2014
bromley,recovered,dec-2014
lambeth,not recovered,dec-2014
wandsworth,not recovered,dec-2014
haringey,not recovered,dec-2014
southwark,not recovered,dec-2014
barnet,not recovered,dec-2014
westminster,not recovered,dec-2014
waltham forest,recovered,dec-2014
haringey,not recovered,dec-2014
lambeth,not recovered,dec-2014
croydon,not recovered,dec-2014
southwark,not recovered,dec-2014
barnet,recovered,dec-2014
kingston upon thames,not recovered,dec-2014
sutton,not recovered,jan-2015
croydon,not recovered,jan-2015
hackney,not recovered,jan-2015
lewisham,not recovered,jan-2015
wandsworth,not recovered,jan-2015
waltham forest,not recovered,jan-2015
hillingdon,not recovered,jan-2015
wandsworth,recovered,jan-2015
lambeth,not recovered,jan-2015
brent,not recovered,jan-2015
croydon,not recovered,jan-2015
waltham forest,not recovered,jan-2015
greenwich,not recovered,jan-2015
merton,not recovered,jan-2015
islington,not recovered,jan-2015
croydon,not recovered,feb-2015
lewisham,not recovered,feb-2015
bromley,not recovered,feb-2015
richmond upon thames,not recovered,feb-2015
croydon,recovered,feb-2015
wandsworth,not recovered,feb-2015
lambeth,not recovered,feb-2015
hackney,not recovered,feb-2015
hillingdon,not recovered,feb-2015
bromley,not recovered,feb-2015
hammersmith and fulham,not recovered,feb-2015
ealing,not recovered,feb-2015
lewisham,not recovered,feb-2015
bexley,recovered,mar-2015
merton,not recovered,mar-2015
greenwich,not recovered,mar-2015
hammersmith and fulham,not recovered,mar-2015
brent,not recovered,mar-2015
hackney,recovered,mar-2015
bromley,not recovered,mar-2015
bromley,not recovered,mar-2015
bromley,not recovered,mar-2015
bromley,not recovered,mar-2015
hammersmith and fulham,recovered,mar-2015
westminster,recovered,mar-2015
merton,not recovered,mar-2015
kensington and chelsea,not recovered,mar-2015
islington,not recovered,mar-2015
barking and dagenham,recovered,mar-2015
hounslow,not recovered,mar-2015
hillingdon,not recovered,mar-2015
haringey,not recovered,mar-2015
kensington and chelsea,not recovered,mar-2015
lambeth,not recovered,apr-2015
harrow,not recovered,apr-2015
lambeth,not recovered,apr-2015
lambeth,not recovered,apr-2015
merton,not recovered,apr-2015
camden,not recovered,apr-2015
waltham forest,not recovered,apr-2015
brent,not recovered,apr-2015
islington,not recovered,apr-2015
hackney,recovered,apr-2015
bromley,not recovered,apr-2015
redbridge,not recovered,apr-2015
barking and dagenham,not recovered,apr-2015
barnet,not recovered,apr-2015
redbridge,not recovered,apr-2015
lewisham,not recovered,apr-2015
westminster,not recovered,may-2015
islington,not recovered,may-2015
barking and dagenham,not recovered,may-2015
barking and dagenham,not recovered,may-2015
camden,not recovered,may-2015
westminster,not recovered,may-2015
hounslow,not recovered,may-2015
havering,not recovered,may-2015
hounslow,not recovered,jun-2015
bexley,not recovered,jun-2015
barking and dagenham,not recovered,jun-2015
haringey,not recovered,jun-2015
lewisham,not recovered,jun-2015
lambeth,not recovered,jun-2015
barnet,not recovered,jun-2015
richmond upon thames,not recovered,jun-2015
camden,not recovered,jun-2015
greenwich,recovered,jun-2015
lambeth,not recovered,jun-2015
haringey,not recovered,jun-2015
haringey,not recovered,jun-2015
ealing,not recovered,jun-2015
bromley,not recovered,jun-2015
hillingdon,not recovered,jun-2015
hackney,not recovered,jun-2015
lambeth,not recovered,jun-2015
sutton,not recovered,jun-2015
haringey,not recovered,jun-2015
haringey,not recovered,jun-2015
haringey,not recovered,jun-2015
redbridge,recovered,jun-2015
enfield,not recovered,jun-2015
tower hamlets,not recovered,jun-2015
westminster,not recovered,jul-2015
harrow,not recovered,jul-2015
redbridge,not recovered,jul-2015
southwark,not recovered,jul-2015
kingston upon thames,not recovered,jul-2015
barking and dagenham,not recovered,jul-2015
ealing,not recovered,jul-2015
croydon,not recovered,jul-2015
croydon,not recovered,jul-2015
westminster,not recovered,jul-2015
wandsworth,not recovered,jul-2015
westminster,not recovered,jul-2015
sutton,not recovered,jul-2015
westminster,not recovered,jul-2015
greenwich,not recovered,jul-2015
hounslow,not recovered,jul-2015
waltham forest,not recovered,jul-2015
barking and dagenham,not recovered,aug-2015
westminster,not recovered,aug-2015
enfield,not recovered,aug-2015
southwark,recovered,aug-2015
bromley,not recovered,aug-2015
bromley,not recovered,aug-2015
greenwich,not recovered,aug-2015
tower hamlets,not recovered,aug-2015
greenwich,not recovered,aug-2015
ealing,not recovered,aug-2015
greenwich,not recovered,aug-2015
ealing,not recovered,aug-2015
kensington and chelsea,not recovered,aug-2015
islington,not recovered,aug-2015
southwark,not recovered,aug-2015
haringey,not recovered,aug-2015
lewisham,not recovered,aug-2015
hounslow,not recovered,aug-2015
greenwich,recovered,aug-2015
croydon,not recovered,aug-2015
wandsworth,not recovered,aug-2015
southwark,not recovered,aug-2015
wandsworth,not recovered,aug-2015
greenwich,not recovered,aug-2015
richmond upon thames,not recovered,aug-2015
lewisham,not recovered,aug-2015
southwark,not recovered,aug-2015
bromley,not recovered,aug-2015
lambeth,not recovered,aug-2015
tower hamlets,not recovered,sep-2015
waltham forest,recovered,sep-2015
greenwich,not recovered,sep-2015
barnet,not recovered,sep-2015
hackney,not recovered,sep-2015
enfield,not recovered,sep-2015
barking and dagenham,not recovered,sep-2015
bexley,not recovered,sep-2015
croydon,not recovered,sep-2015
hackney,not recovered,sep-2015
wandsworth,not recovered,sep-2015
bromley,recovered,sep-2015
croydon,not recovered,sep-2015
bromley,recovered,sep-2015
wandsworth,not recovered,sep-2015
havering,not recovered,sep-2015
lewisham,not recovered,sep-2015
islington,not recovered,sep-2015
waltham forest,not recovered,sep-2015
hillingdon,recovered,oct-2015
brent,not recovered,oct-2015
brent,not recovered,oct-2015
hillingdon,not recovered,oct-2015
bromley,not recovered,oct-2015
hounslow,not recovered,oct-2015
hammersmith and fulham,not recovered,oct-2015
islington,not recovered,oct-2015
enfield,recovered,oct-2015
camden,recovered,oct-2015
kingston upon thames,not recovered,oct-2015
westminster,not recovered,oct-2015
barnet,recovered,oct-2015
havering,not recovered,oct-2015
lewisham,not recovered,oct-2015
greenwich,recovered,oct-2015
camden,not recovered,oct-2015
westminster,not recovered,oct-2015
bromley,not recovered,oct-2015
newham,not recovered,oct-2015
greenwich,not recovered,oct-2015
croydon,not recovered,oct-2015
wandsworth,not recovered,oct-2015
kensington and chelsea,recovered,oct-2015
hillingdon,recovered,oct-2015
southwark,not recovered,oct-2015
westminster,not recovered,oct-2015
wandsworth,not recovered,oct-2015
sutton,recovered,oct-2015
kingston upon thames,not recovered,nov-2015
barking and dagenham,not recovered,nov-2015
westminster,not recovered,nov-2015
hounslow,recovered,nov-2015
richmond upon thames,not recovered,nov-2015
hammersmith and fulham,not recovered,nov-2015
hounslow,recovered,nov-2015
islington,not recovered,nov-2015
havering,not recovered,nov-2015
hackney,not recovered,nov-2015
camden,not recovered,nov-2015
lewisham,not recovered,nov-2015
barnet,not recovered,nov-2015
camden,not recovered,nov-2015
enfield,recovered,nov-2015
haringey,not recovered,nov-2015
greenwich,not recovered,nov-2015
westminster,not recovered,dec-2015
newham,not recovered,dec-2015
croydon,recovered,dec-2015
croydon,not recovered,dec-2015
waltham forest,not recovered,dec-2015
haringey,not recovered,dec-2015
islington,not recovered,dec-2015
hammersmith and fulham,not recovered,dec-2015
richmond upon thames,recovered,dec-2015
richmond upon thames,not recovered,dec-2015
southwark,not recovered,dec-2015
southwark,not recovered,dec-2015
southwark,not recovered,dec-2015
southwark,not recovered,dec-2015
hackney,not recovered,dec-2015
brent,not recovered,dec-2015
tower hamlets,not recovered,dec-2015
merton,not recovered,dec-2015
greenwich,not recovered,dec-2015
lambeth,recovered,dec-2015
westminster,not recovered,dec-2015
hounslow,not recovered,jan-2016
kingston upon thames,not recovered,jan-2016
hillingdon,not recovered,jan-2016
islington,not recovered,jan-2016
lewisham,not recovered,jan-2016
brent,not recovered,jan-2016
bromley,not recovered,jan-2016
hackney,not recovered,jan-2016
tower hamlets,not recovered,jan-2016
islington,not recovered,jan-2016
greenwich,not recovered,jan-2016
haringey,not recovered,jan-2016
tower hamlets,not recovered,feb-2016
camden,not recovered,feb-2016
hackney,not recovered,feb-2016
lewisham,not recovered,feb-2016
newham,recovered,feb-2016
newham,recovered,feb-2016
lambeth,not recovered,feb-2016
greenwich,recovered,feb-2016
hackney,not recovered,feb-2016
hounslow,not recovered,feb-2016
kensington and chelsea,recovered,feb-2016
croydon,not recovered,mar-2016
lewisham,not recovered,mar-2016
tower hamlets,not recovered,mar-2016
hackney,not recovered,mar-2016
hackney,not recovered,mar-2016
camden,not recovered,mar-2016
barnet,not recovered,mar-2016
wandsworth,not recovered,mar-2016
richmond upon thames,not recovered,mar-2016
barking and dagenham,recovered,mar-2016
hillingdon,not recovered,mar-2016
lambeth,not recovered,mar-2016
southwark,not recovered,apr-2016
enfield,recovered,apr-2016
haringey,not recovered,apr-2016
hounslow,not recovered,apr-2016
lambeth,not recovered,apr-2016
westminster,not recovered,apr-2016
lewisham,not recovered,apr-2016
ealing,not recovered,apr-2016
bexley,not recovered,apr-2016
merton,not recovered,apr-2016
hounslow,not recovered,may-2016
lewisham,not recovered,may-2016
lambeth,not recovered,may-2016
croydon,not recovered,may-2016
waltham forest,not recovered,may-2016
croydon,recovered,may-2016
enfield,not recovered,may-2016
westminster,not recovered,may-2016
croydon,not recovered,may-2016
islington,not recovered,may-2016
enfield,not recovered,may-2016
barnet,not recovered,may-2016
greenwich,not recovered,may-2016
haringey,not recovered,may-2016
barking and dagenham,not recovered,may-2016
hounslow,not recovered,may-2016
greenwich,not recovered,may-2016
havering,recovered,may-2016
havering,not recovered,jun-2016
hillingdon,not recovered,jun-2016
hillingdon,not recovered,jun-2016
ealing,not recovered,jun-2016
enfield,not recovered,jun-2016
westminster,not recovered,jun-2016
westminster,not recovered,jun-2016
westminster,not recovered,jun-2016
westminster,not recovered,jun-2016
brent,not recovered,jun-2016
greenwich,not recovered,jun-2016
lewisham,not recovered,jun-2016
haringey,not recovered,jun-2016
westminster,not recovered,jun-2016
ealing,not recovered,jun-2016
hillingdon,not recovered,jun-2016
camden,not recovered,jun-2016
merton,not recovered,jun-2016
newham,not recovered,jun-2016
kensington and chelsea,not recovered,jun-2016
redbridge,not recovered,jun-2016
bromley,not recovered,jun-2016
greenwich,recovered,jul-2016
merton,not recovered,jul-2016
enfield,not recovered,jul-2016
bromley,recovered,jul-2016
southwark,not recovered,jul-2016
richmond upon thames,recovered,jul-2016
hillingdon,not recovered,jul-2016
croydon,not recovered,jul-2016
hillingdon,recovered,jul-2016
greenwich,not recovered,jul-2016
waltham forest,not recovered,jul-2016
haringey,not recovered,jul-2016
sutton,not recovered,jul-2016
haringey,not recovered,jul-2016
greenwich,recovered,jul-2016
barnet,not recovered,jul-2016
barnet,recovered,jul-2016
barnet,recovered,jul-2016
barnet,recovered,jul-2016
barnet,recovered,jul-2016
barnet,recovered,jul-2016
barnet,recovered,jul-2016
barnet,recovered,jul-2016
barnet,recovered,jul-2016
ealing,not recovered,jul-2016
barnet,not recovered,aug-2016
bromley,not recovered,aug-2016
islington,not recovered,aug-2016
barking and dagenham,not recovered,aug-2016
brent,not recovered,aug-2016
wandsworth,not recovered,aug-2016
kensington and chelsea,not recovered,aug-2016
redbridge,not recovered,aug-2016
kingston upon thames,not recovered,aug-2016
lewisham,recovered,aug-2016
lewisham,recovered,aug-2016
lewisham,not recovered,aug-2016
lewisham,recovered,aug-2016
lewisham,recovered,aug-2016
lewisham,recovered,aug-2016
lewisham,not recovered,aug-2016
wandsworth,recovered,aug-2016
southwark,not recovered,aug-2016
tower hamlets,not recovered,aug-2016
lambeth,not recovered,aug-2016
haringey,recovered,sep-2016
barking and dagenham,not recovered,sep-2016
haringey,not recovered,sep-2016
havering,recovered,sep-2016
islington,not recovered,sep-2016
tower hamlets,recovered,sep-2016
enfield,not recovered,sep-2016
richmond upon thames,recovered,sep-2016
lewisham,not recovered,sep-2016
brent,recovered,sep-2016
tower hamlets,not recovered,sep-2016
islington,not recovered,sep-2016
westminster,not recovered,sep-2016
barking and dagenham,not recovered,sep-2016
barking and dagenham,not recovered,sep-2016
haringey,not recovered,sep-2016
waltham forest,recovered,sep-2016
waltham forest,recovered,sep-2016
wandsworth,not recovered,sep-2016
bromley,not recovered,sep-2016
kingston upon thames,not recovered,sep-2016
westminster,not recovered,sep-2016
westminster,not recovered,sep-2016
croydon,not recovered,oct-2016
enfield,not recovered,oct-2016
greenwich,not recovered,oct-2016
kingston upon thames,not recovered,oct-2016
richmond upon thames,not recovered,oct-2016
redbridge,not recovered,oct-2016
greenwich,not recovered,oct-2016
havering,not recovered,oct-2016
haringey,not recovered,oct-2016
bromley,not recovered,oct-2016
merton,not recovered,oct-2016
wandsworth,not recovered,oct-2016
southwark,not recovered,oct-2016
southwark,not recovered,oct-2016
hackney,not recovered,oct-2016
islington,not recovered,oct-2016
hackney,not recovered,oct-2016
barnet,not recovered,oct-2016
barnet,not recovered,oct-2016
westminster,not recovered,oct-2016
kingston upon thames,not recovered,oct-2016
hackney,not recovered,nov-2016
bromley,not recovered,nov-2016
hammersmith and fulham,recovered,nov-2016
kensington and chelsea,not recovered,nov-2016
bexley,not recovered,nov-2016
croydon,not recovered,nov-2016
greenwich,not recovered,nov-2016
lambeth,not recovered,nov-2016
camden,not recovered,nov-2016
southwark,not recovered,nov-2016
lewisham,not recovered,nov-2016
lewisham,not recovered,nov-2016
bexley,not recovered,nov-2016
kensington and chelsea,not recovered,nov-2016
croydon,not recovered,nov-2016
hackney,not recovered,nov-2016
barking and dagenham,not recovered,nov-2016
havering,not recovered,nov-2016
hackney,not recovered,dec-2016
lambeth,not recovered,dec-2016
croydon,recovered,dec-2016
barnet,not recovered,dec-2016
islington,not recovered,dec-2016
ealing,not recovered,dec-2016
westminster,not recovered,dec-2016
islington,recovered,dec-2016
hammersmith and fulham,not recovered,dec-2016
barnet,not recovered,dec-2016
ealing,not recovered,dec-2016
greenwich,not recovered,dec-2016
hammersmith and fulham,not recovered,dec-2016
hackney,not recovered,jan-2017
havering,not recovered,jan-2017
havering,not recovered,jan-2017
kingston upon thames,not recovered,jan-2017
islington,not recovered,jan-2017
harrow,not recovered,jan-2017
hackney,not recovered,jan-2017
westminster,not recovered,jan-2017
tower hamlets,not recovered,jan-2017
haringey,not recovered,jan-2017
hammersmith and fulham,not recovered,jan-2017
hounslow,not recovered,jan-2017
hackney,not recovered,jan-2017
redbridge,not recovered,feb-2017
barnet,not recovered,feb-2017
barking and dagenham,recovered,feb-2017
islington,not recovered,feb-2017
bexley,not recovered,feb-2017
lambeth,recovered,feb-2017
southwark,recovered,feb-2017
newham,not recovered,feb-2017
lewisham,not recovered,feb-2017
enfield,not recovered,feb-2017
croydon,not recovered,feb-2017
brent,not recovered,feb-2017
greenwich,recovered,feb-2017
kensington and chelsea,recovered,feb-2017
tower hamlets,recovered,feb-2017
tower hamlets,not recovered,feb-2017
ealing,recovered,mar-2017
ealing,not recovered,mar-2017
barnet,not recovered,mar-2017
westminster,not recovered,mar-2017
enfield,recovered,mar-2017
bexley,recovered,mar-2017
bexley,recovered,mar-2017
hillingdon,recovered,mar-2017
brent,not recovered,mar-2017
ealing,not recovered,mar-2017
croydon,not recovered,mar-2017
hackney,not recovered,mar-2017
kensington and chelsea,not recovered,mar-2017
waltham forest,not recovered,mar-2017
lewisham,not recovered,mar-2017
croydon,not recovered,mar-2017
richmond upon thames,not recovered,mar-2017
newham,not recovered,mar-2017
croydon,not recovered,mar-2017
hackney,recovered,mar-2017
islington,not recovered,mar-2017
waltham forest,not recovered,mar-2017
lambeth,not recovered,apr-2017
kingston upon thames,not recovered,apr-2017
croydon,not recovered,apr-2017
waltham forest,not recovered,apr-2017
enfield,not recovered,apr-2017
tower hamlets,not recovered,apr-2017
lewisham,not recovered,apr-2017
hackney,not recovered,apr-2017
greenwich,not recovered,apr-2017
lewisham,not recovered,apr-2017
greenwich,not recovered,apr-2017
greenwich,recovered,apr-2017
havering,not recovered,apr-2017
southwark,not recovered,may-2017
greenwich,not recovered,may-2017
hammersmith and fulham,not recovered,may-2017
barnet,not recovered,may-2017
enfield,not recovered,may-2017
hammersmith and fulham,not recovered,may-2017
barnet,not recovered,may-2017
waltham forest,not recovered,may-2017
havering,not recovered,may-2017
westminster,not recovered,may-2017
newham,not recovered,may-2017
waltham forest,not recovered,may-2017
kensington and chelsea,not recovered,may-2017
kensington and chelsea,not recovered,may-2017
barking and dagenham,not recovered,may-2017
harrow,recovered,may-2017
islington,not recovered,may-2017
camden,not recovered,jun-2017
camden,recovered,jun-2017
bromley,not recovered,jun-2017
greenwich,not recovered,jun-2017
tower hamlets,not recovered,jun-2017
tower hamlets,not recovered,jun-2017
haringey,not recovered,jun-2017
greenwich,not recovered,jun-2017
haringey,not recovered,jun-2017
haringey,not recovered,jun-2017
haringey,not recovered,jun-2017
sutton,not recovered,jun-2017
kensington and chelsea,not recovered,jun-2017
sutton,not recovered,jun-2017
islington,not recovered,jun-2017
waltham forest,not recovered,jun-2017
southwark,not recovered,jun-2017
sutton,not recovered,jun-2017
westminster,not recovered,jun-2017
hillingdon,not recovered,jun-2017
southwark,not recovered,jun-2017
lewisham,not recovered,jun-2017
haringey,not recovered,jun-2017
bromley,not recovered,jun-2017
tower hamlets,not recovered,jun-2017
redbridge,not recovered,jun-2017
hackney,not recovered,jun-2017
tower hamlets,not recovered,jun-2017
hackney,not recovered,jun-2017
hackney,recovered,jun-2017
westminster,recovered,jun-2017
barnet,not recovered,jun-2017
redbridge,not recovered,jun-2017
ealing,not recovered,jun-2017
greenwich,not recovered,jun-2017
croydon,not recovered,jun-2017
camden,recovered,jul-2017
lewisham,recovered,jul-2017
ealing,not recovered,jul-2017
hammersmith and fulham,not recovered,jul-2017
barking and dagenham,recovered,jul-2017
croydon,not recovered,jul-2017
barking and dagenham,recovered,jul-2017
brent,not recovered,jul-2017
islington,recovered,jul-2017
islington,recovered,jul-2017
lambeth,not recovered,jul-2017
southwark,not recovered,jul-2017
barnet,not recovered,jul-2017
hammersmith and fulham,not recovered,jul-2017
enfield,not recovered,jul-2017
barnet,not recovered,jul-2017
croydon,not recovered,jul-2017
tower hamlets,not recovered,jul-2017
bromley,not recovered,jul-2017
bexley,not recovered,jul-2017
sutton,not recovered,jul-2017
hackney,not recovered,jul-2017
ealing,recovered,jul-2017
hounslow,not recovered,jul-2017
barnet,not recovered,aug-2017
barking and dagenham,not recovered,aug-2017
croydon,not recovered,aug-2017
greenwich,not recovered,aug-2017
bromley,not recovered,aug-2017
croydon,not recovered,aug-2017
redbridge,not recovered,aug-2017
newham,not recovered,aug-2017
hackney,not recovered,aug-2017
kingston upon thames,not recovered,aug-2017
wandsworth,not recovered,aug-2017
southwark,not recovered,aug-2017
lewisham,not recovered,aug-2017
bexley,not recovered,aug-2017
brent,not recovered,aug-2017
sutton,not recovered,aug-2017
hackney,not recovered,aug-2017
lewisham,not recovered,aug-2017
redbridge,not recovered,sep-2017
camden,not recovered,sep-2017
camden,not recovered,sep-2017
camden,not recovered,sep-2017
westminster,not recovered,sep-2017
bromley,not recovered,sep-2017
enfield,not recovered,sep-2017
lewisham,not recovered,sep-2017
bromley,recovered,sep-2017
ealing,not recovered,sep-2017
hillingdon,not recovered,sep-2017
hillingdon,not recovered,sep-2017
barnet,recovered,sep-2017
tower hamlets,not recovered,sep-2017
barking and dagenham,not recovered,sep-2017
merton,not recovered,sep-2017
islington,not recovered,oct-2017
lewisham,not recovered,oct-2017
westminster,not recovered,oct-2017
hillingdon,recovered,oct-2017
hillingdon,not recovered,oct-2017
lambeth,not recovered,oct-2017
hackney,not recovered,oct-2017
hackney,not recovered,oct-2017
westminster,not recovered,oct-2017
bromley,recovered,oct-2017
lambeth,not recovered,oct-2017
haringey,not recovered,oct-2017
islington,not recovered,oct-2017
greenwich,recovered,oct-2017
hackney,recovered,oct-2017
kensington and chelsea,not recovered,oct-2017
hillingdon,not recovered,oct-2017
greenwich,not recovered,oct-2017
