Count of Stolen Animals,Type of Animal,Borough,Type Of Offence,Animal Recovered,Year and Month
1,Dog,Hackney,Theft and Handling,Not Recovered,Mar-2010
1,Dog,Westminster,Burglary,Recovered,Mar-2010
1,Dog,Bromley,Theft and Handling,Not Recovered,Mar-2010
1,Dog,Islington,Violence Against the Person,Not Recovered,Mar-2010
6,Bird,Redbridge,Theft and Handling,Not Recovered,Mar-2010
1,Dog,Barnet,Burglary,Not Recovered,Mar-2010
1,Dog,Barnet,Burglary,Not Recovered,Mar-2010
1,Dog,Wandsworth,Theft and Handling,Not Recovered,Apr-2010
1,Dog,Islington,Burglary,Recovered,Apr-2010
1,Dog,Havering,Violence Against the Person,Recovered,Apr-2010
1,Dog,Lambeth,Theft and Handling,Recovered,Apr-2010
8,Bird,Hounslow,Theft and Handling,Not Recovered,Apr-2010
20,Bird,Bromley,Burglary,Not Recovered,Apr-2010
1,Dog,Waltham Forest,Robbery,Not Recovered,Apr-2010
1,Dog,Kingston upon Thames,Theft and Handling,Not Recovered,Apr-2010
1,Dog,Haringey,Burglary,Not Recovered,Apr-2010
1,Dog,Islington,Theft and Handling,Not Recovered,Apr-2010
2,Mammal (exc Cat and Dog),Hounslow,Theft and Handling,Not Recovered,Apr-2010
1,Dog,Hackney,Theft and Handling,Not Recovered,Apr-2010
1,Dog,Hackney,Theft and Handling,Not Recovered,Apr-2010
1,Dog,Newham,Theft and Handling,Not Recovered,Apr-2010
1,Bird,Tower Hamlets,Burglary,Not Recovered,Apr-2010
1,Dog,Newham,Burglary,Not Recovered,Apr-2010
1,Dog,Newham,Burglary,Not Recovered,Apr-2010
1,Dog,Southwark,Theft and Handling,Not Recovered,Apr-2010
1,Dog,Lambeth,Theft and Handling,Not Recovered,Apr-2010
1,Dog,Camden,Burglary,Recovered,Apr-2010
1,Dog,Lewisham,Theft and Handling,Not Recovered,Apr-2010
2,Mammal (exc Cat and Dog),Sutton,Theft and Handling,Not Recovered,Apr-2010
8,Dog,Redbridge,Burglary,Not Recovered,Apr-2010
1,Dog,Newham,Theft and Handling,Not Recovered,Apr-2010
1,Dog,Lambeth,Theft and Handling,Not Recovered,Apr-2010
1,Dog,Harrow,Other Notifiable Offences,Recovered,Apr-2010
1,Dog,Waltham Forest,Robbery,Not Recovered,Apr-2010
2,Bird,Bromley,Burglary,Not Recovered,Apr-2010
1,Dog,Havering,Burglary,Not Recovered,Apr-2010
1,Dog,Havering,Burglary,Not Recovered,Apr-2010
1,Dog,Bromley,Theft and Handling,Not Recovered,Apr-2010
1,Dog,Barking and Dagenham,Theft and Handling,Not Recovered,Apr-2010
1,Dog,Havering,Theft and Handling,Not Recovered,Apr-2010
1,Dog,Hackney,Theft and Handling,Not Recovered,Apr-2010
1,Dog,Waltham Forest,Theft and Handling,Not Recovered,Apr-2010
1,Bird,Havering,Theft and Handling,Not Recovered,Apr-2010
1,Dog,Camden,Theft and Handling,Not Recovered,Apr-2010
1,Dog,Ealing,Theft and Handling,Not Recovered,Apr-2010
1,Dog,Croydon,Theft and Handling,Not Recovered,Apr-2010
1,Dog,Bromley,Theft and Handling,Not Recovered,Apr-2010
1,Dog,Croydon,Theft and Handling,Not Recovered,Apr-2010
1,Dog,Hillingdon,Theft and Handling,Not Recovered,Apr-2010
1,Dog,Lewisham,Theft and Handling,Not Recovered,Apr-2010
1,Dog,Ealing,Theft and Handling,Not Recovered,Apr-2010
1,Dog,Islington,Theft and Handling,Not Recovered,Apr-2010
9,Dog,Lewisham,Burglary,Not Recovered,Apr-2010
1,Reptile,Harrow,Burglary,Not Recovered,Apr-2010
1,Dog,Sutton,Theft and Handling,Not Recovered,Apr-2010
1,Mammal (exc Cat and Dog),Havering,Theft and Handling,Not Recovered,Apr-2010
1,Mammal (exc Cat and Dog),Havering,Theft and Handling,Not Recovered,Apr-2010
1,Dog,Hounslow,Robbery,Recovered,Apr-2010
4,Cat,Enfield,Theft and Handling,Not Recovered,Apr-2010
2,Bird,Merton,Theft and Handling,Not Recovered,Apr-2010
17,Fish,Bromley,Theft and Handling,Not Recovered,Apr-2010
1,Dog,Croydon,Theft and Handling,Not Recovered,Apr-2010
1,Dog,Croydon,Burglary,Not Recovered,Apr-2010
1,Dog,Croydon,Burglary,Not Recovered,Apr-2010
1,Dog,Hounslow,Theft and Handling,Not Recovered,Apr-2010
1,Dog,Lambeth,Burglary,Recovered,Apr-2010
1,Dog,Haringey,Burglary,Not Recovered,May-2010
1,Dog,Westminster,Theft and Handling,Not Recovered,May-2010
1,Dog,Waltham Forest,Theft and Handling,Not Recovered,May-2010
1,Dog,Newham,Theft and Handling,Not Recovered,May-2010
1,Dog,Ealing,Burglary,Not Recovered,May-2010
1,Dog,Waltham Forest,Burglary,Not Recovered,May-2010
1,Dog,Camden,Theft and Handling,Not Recovered,May-2010
1,Dog,Hackney,Theft and Handling,Not Recovered,May-2010
1,Dog,Newham,Other Notifiable Offences,Not Recovered,May-2010
1,Dog,Newham,Robbery,Not Recovered,May-2010
1,Cat,Southwark,Criminal Damage,Not Recovered,May-2010
1,Dog,Haringey,Burglary,Not Recovered,May-2010
1,Dog,Redbridge,Criminal Damage,Recovered,May-2010
19,Bird,Hillingdon,Theft and Handling,Recovered,May-2010
1,Dog,Camden,Robbery,Not Recovered,May-2010
1,Dog,Croydon,Theft and Handling,Recovered,May-2010
1,Dog,Bexley,Theft and Handling,Not Recovered,May-2010
3,Mammal (exc Cat and Dog),Kingston upon Thames,Burglary,Not Recovered,May-2010
1,Mammal (exc Cat and Dog),Barking and Dagenham,Theft and Handling,Not Recovered,May-2010
