Count of Stolen Animals,Type of Animal,Borough,Type Of Offence,Animal Recovered,Year and Month
1,Dog,Tower Hamlets,Theft and Handling,Not Recovered,Oct-2012
1,Dog,Harrow,Theft and Handling,Not Recovered,Oct-2012
14,Fish,Ealing,Theft and Handling,Not Recovered,Oct-2012
2,Dog,Hillingdon,Burglary,Not Recovered,Oct-2012
1,Reptile,Hackney,Theft and Handling,Not Recovered,Oct-2012
1,Dog,Lewisham,Theft and Handling,Not Recovered,Oct-2012
1,Dog,Ealing,Robbery,Not Recovered,Oct-2012
1,Dog,Ealing,Theft and Handling,Not Recovered,Oct-2012
1,Dog,Ealing,Theft and Handling,Not Recovered,Oct-2012
4,Mammal (exc Cat and Dog),Enfield,Burglary,Not Recovered,Oct-2012
1,Dog,Kensington and Chelsea,Theft and Handling,Not Recovered,Oct-2012
1,Cat,Kingston upon Thames,Burglary,Not Recovered,Oct-2012
1,Dog,Kingston upon Thames,Theft and Handling,Not Recovered,Oct-2012
1,Dog,Islington,Burglary,Not Recovered,Oct-2012
1,Dog,Redbridge,Theft and Handling,Not Recovered,Oct-2012
1,Dog,Hackney,Theft and Handling,Not Recovered,Oct-2012
1,Dog,Haringey,Robbery,Not Recovered,Nov-2012
1,Dog,Lewisham,Burglary,Not Recovered,Nov-2012
1,Dog,Ealing,Theft and Handling,Not Recovered,Nov-2012
1,Dog,Redbridge,Theft and Handling,Not Recovered,Nov-2012
1,Dog,Croydon,Theft and Handling,Not Recovered,Nov-2012
1,Dog,Haringey,Theft and Handling,Recovered,Nov-2012
1,Dog,Newham,Theft and Handling,Not Recovered,Nov-2012
2,Mammal (exc Cat and Dog),Bromley,Theft and Handling,Not Recovered,Nov-2012
1,Dog,Westminster,Theft and Handling,Not Recovered,Nov-2012
1,Mammal (exc Cat and Dog),Croydon,Theft and Handling,Not Recovered,Nov-2012
1,Dog,Barking and Dagenham,Theft and Handling,Not Recovered,Nov-2012
1,Cat,Kensington and Chelsea,Burglary,Not Recovered,Nov-2012
1,Dog,Enfield,Theft and Handling,Not Recovered,Nov-2012
1,Dog,Lambeth,Burglary,Not Recovered,Nov-2012
1,Dog,Croydon,Theft and Handling,Not Recovered,Nov-2012
1,Dog,Ealing,Theft and Handling,Not Recovered,Nov-2012
1,Dog,Ealing,Theft and Handling,Not Recovered,Nov-2012
1,Dog,Hounslow,Theft and Handling,Recovered,Dec-2012
1,Mammal (exc Cat and Dog),Hounslow,Theft and Handling,Not Recovered,Dec-2012
1,Dog,Kingston upon Thames,Theft and Handling,Not Recovered,Dec-2012
1,Mammal (exc Cat and Dog),Hounslow,Theft and Handling,Not Recovered,Dec-2012
1,Dog,Hackney,Theft and Handling,Not Recovered,Dec-2012
1,Dog,Kensington and Chelsea,Theft and Handling,Not Recovered,Dec-2012
1,Dog,Barnet,Theft and Handling,Not Recovered,Dec-2012
1,Dog,Bexley,Robbery,Not Recovered,Dec-2012
1,Dog,Haringey,Theft and Handling,Not Recovered,Dec-2012
1,Dog,Barnet,Theft and Handling,Not Recovered,Dec-2012
1,Dog,Greenwich,Theft and Handling,Not Recovered,Dec-2012
1,Dog,Merton,Theft and Handling,Not Recovered,Dec-2012
4,Mammal (exc Cat and Dog),Hillingdon,Burglary,Not Recovered,Dec-2012
1,Dog,Hillingdon,Burglary,Not Recovered,Dec-2012
1,Dog,Wandsworth,Theft and Handling,Not Recovered,Dec-2012
1,Dog,Lambeth,Theft and Handling,Not Recovered,Dec-2012
1,Mammal (exc Cat and Dog),Greenwich,Theft and Handling,Not Recovered,Dec-2012
2,Bird,Ealing,Burglary,Not Recovered,Dec-2012
1,Dog,Redbridge,Theft and Handling,Not Recovered,Dec-2012
1,Dog,Enfield,Violence Against the Person,Not Recovered,Dec-2012
1,Mammal (exc Cat and Dog),Ealing,Theft and Handling,Not Recovered,Dec-2012
1,Cat,Barking and Dagenham,Theft and Handling,Not Recovered,Dec-2012
1,Dog,Brent,Theft and Handling,Not Recovered,Dec-2012
1,Dog,Ealing,Theft and Handling,Not Recovered,Dec-2012
1,Dog,Barking and Dagenham,Theft and Handling,Not Recovered,Dec-2012
1,Dog,Haringey,Theft and Handling,Not Recovered,Dec-2012
1,Dog,Islington,Theft and Handling,Not Recovered,Dec-2012
1,Dog,Westminster,Theft and Handling,Not Recovered,Jan-2013
1,Dog,Lewisham,Theft and Handling,Not Recovered,Jan-2013
1,Dog,Redbridge,Theft and Handling,Not Recovered,Jan-2013
1,Dog,Redbridge,Theft and Handling,Not Recovered,Jan-2013
1,Cat,Brent,Burglary,Not Recovered,Jan-2013
1,Dog,Bromley,Burglary,Not Recovered,Jan-2013
1,Dog,Wandsworth,Burglary,Not Recovered,Jan-2013
1,Cat,Enfield,Burglary,Recovered,Jan-2013
1,Cat,Bromley,Burglary,Not Recovered,Jan-2013
4,Dog,Bexley,Burglary,Not Recovered,Jan-2013
1,Dog,Hillingdon,Theft and Handling,Not Recovered,Jan-2013
1,Dog,Waltham Forest,Robbery,Not Recovered,Jan-2013
1,Dog,Ealing,Robbery,Not Recovered,Jan-2013
1,Dog,Barnet,Theft and Handling,Not Recovered,Jan-2013
1,Cat,Greenwich,Theft and Handling,Recovered,Jan-2013
1,Dog,Greenwich,Violence Against the Person,Not Recovered,Jan-2013
1,Reptile,Hackney,Burglary,Not Recovered,Jan-2013
1,Dog,Waltham Forest,Theft and Handling,Not Recovered,Jan-2013
1,Dog,Harrow,Theft and Handling,Not Recovered,Jan-2013
1,Dog,Camden,Burglary,Not Recovered,Feb-2013
1,Dog,Hillingdon,Criminal Damage,Not Recovered,Feb-2013
1,Bird,Waltham Forest,Theft and Handling,Not Recovered,Feb-2013
1,Mammal (exc Cat and Dog),Havering,Theft and Handling,Not Recovered,Feb-2013
1,Cat,Lambeth,Theft and Handling,Not Recovered,Feb-2013
1,Dog,Haringey,Theft and Handling,Not Recovered,Feb-2013
1,Dog,Barking and Dagenham,Robbery,Recovered,Feb-2013
3,Mammal (exc Cat and Dog),Ealing,Theft and Handling,Not Recovered,Feb-2013
49,Bird,Hillingdon,Burglary,Not Recovered,Feb-2013
1,Dog,Barnet,Theft and Handling,Not Recovered,Feb-2013
1,Dog,Greenwich,Violence Against the Person,Recovered,Feb-2013
1,Dog,Lambeth,Burglary,Not Recovered,Feb-2013
1,Dog,Greenwich,Theft and Handling,Recovered,Feb-2013
1,Dog,Greenwich,Theft and Handling,Recovered,Feb-2013
1,Dog,Sutton,Criminal Damage,Not Recovered,Feb-2013
1,Dog,Islington,Theft and Handling,Not Recovered,Feb-2013
1,Dog,Westminster,Violence Against the Person,Not Recovered,Mar-2013
1,Dog,Merton,Theft and Handling,Not Recovered,Mar-2013
1,Cat,Haringey,Burglary,Not Recovered,Mar-2013
1,Dog,Richmond upon Thames,Theft and Handling,Recovered,Mar-2013
1,Mammal (exc Cat and Dog),Southwark,Burglary,Not Recovered,Mar-2013
1,Mammal (exc Cat and Dog),Southwark,Burglary,Not Recovered,Mar-2013
1,Mammal (exc Cat and Dog),Southwark,Burglary,Not Recovered,Mar-2013
1,Mammal (exc Cat and Dog),Southwark,Burglary,Not Recovered,Mar-2013
1,Dog,Lambeth,Theft and Handling,Not Recovered,Mar-2013
1,Dog,Lewisham,Theft and Handling,Not Recovered,Mar-2013
1,Dog,Enfield,Theft and Handling,Not Recovered,Mar-2013
1,Dog,Wandsworth,Theft and Handling,Not Recovered,Mar-2013
1,Dog,Croydon,Burglary,Not Recovered,Mar-2013
1,Dog,Wandsworth,Theft and Handling,Not Recovered,Mar-2013
1,Dog,Merton,Theft and Handling,Recovered,Mar-2013
1,Dog,Tower Hamlets,Burglary,Not Recovered,Mar-2013
2,Insect,Camden,Theft and Handling,Not Recovered,Mar-2013
1,Dog,Harrow,Burglary,Not Recovered,Mar-2013
1,Dog,Harrow,Burglary,Not Recovered,Mar-2013
3,Bird,Havering,Theft and Handling,Not Recovered,Mar-2013
1,Dog,Havering,Theft and Handling,Not Recovered,Mar-2013
1,Dog,Southwark,Theft and Handling,Not Recovered,Mar-2013
1,Dog,Tower Hamlets,Theft and Handling,Not Recovered,Mar-2013
1,Dog,Barking and Dagenham,Burglary,Not Recovered,Mar-2013
2,Fish,Barking and Dagenham,Burglary,Not Recovered,Mar-2013
1,Dog,Enfield,Theft and Handling,Not Recovered,Mar-2013
1,Reptile,Enfield,Burglary,Not Recovered,Mar-2013
1,Reptile,Enfield,Burglary,Not Recovered,Mar-2013
5,Reptile,Enfield,Burglary,Not Recovered,Mar-2013
5,Reptile,Enfield,Burglary,Not Recovered,Mar-2013
1,Dog,Kensington and Chelsea,Theft and Handling,Not Recovered,Mar-2013
1,Dog,Kensington and Chelsea,Theft and Handling,Not Recovered,Mar-2013
1,Dog,Kensington and Chelsea,Theft and Handling,Recovered,Mar-2013
1,Dog,Haringey,Theft and Handling,Not Recovered,Mar-2013
1,Dog,Greenwich,Theft and Handling,Recovered,Apr-2013
1,Dog,Haringey,Burglary,Not Recovered,Apr-2013
2,Reptile,Barking and Dagenham,Burglary,Not Recovered,Apr-2013
1,Dog,Greenwich,Theft and Handling,Not Recovered,Apr-2013
1,Mammal (exc Cat and Dog),Islington,Theft and Handling,Not Recovered,Apr-2013
1,Dog,Southwark,Theft and Handling,Not Recovered,Apr-2013
1,Insect,Lambeth,Theft and Handling,Not Recovered,Apr-2013
1,Dog,Barnet,Theft and Handling,Not Recovered,Apr-2013
1,Dog,Haringey,Theft and Handling,Not Recovered,Apr-2013
1,Mammal (exc Cat and Dog),Greenwich,Theft and Handling,Not Recovered,Apr-2013
1,Dog,Barnet,Theft and Handling,Not Recovered,Apr-2013
1,Reptile,Haringey,Theft and Handling,Not Recovered,Apr-2013
1,Cat,Lewisham,Theft and Handling,Not Recovered,Apr-2013
2,Bird,Bromley,Burglary,Not Recovered,Apr-2013
2,Bird,Bromley,Burglary,Not Recovered,Apr-2013
2,Bird,Bromley,Burglary,Not Recovered,Apr-2013
1,Bird,Waltham Forest,Theft and Handling,Not Recovered,Apr-2013
3,Fish,Barking and Dagenham,Burglary,Recovered,Apr-2013
20,Fish,Kingston upon Thames,Theft and Handling,Not Recovered,Apr-2013
1,Dog,Hillingdon,Theft and Handling,Not Recovered,Apr-2013
1,Dog,Camden,Theft and Handling,Not Recovered,Apr-2013
1,Mammal (exc Cat and Dog),Bexley,Theft and Handling,Not Recovered,Apr-2013
1,Dog,Greenwich,Theft and Handling,Not Recovered,Apr-2013
1,Dog,Southwark,Theft and Handling,Not Recovered,Apr-2013
1,Dog,Hammersmith and Fulham,Violence Against the Person,Not Recovered,Apr-2013
1,Dog,Westminster,Theft and Handling,Not Recovered,Apr-2013
1,Dog,Hammersmith and Fulham,Theft and Handling,Not Recovered,May-2013
1,Dog,Kingston upon Thames,Theft and Handling,Not Recovered,May-2013
1,Dog,Sutton,Theft and Handling,Recovered,May-2013
5,Fish,Westminster,Burglary,Not Recovered,May-2013
1,Cat,Lambeth,Criminal Damage,Recovered,May-2013
1,Reptile,Lewisham,Theft and Handling,Not Recovered,May-2013
1,Bird,Hounslow,Burglary,Not Recovered,May-2013
1,Bird,Hounslow,Burglary,Not Recovered,May-2013
1,Dog,Kensington and Chelsea,Theft and Handling,Not Recovered,May-2013
2,Mammal (exc Cat and Dog),Hillingdon,Theft and Handling,Not Recovered,May-2013
1,Dog,Ealing,Burglary,Not Recovered,May-2013
1,Dog,Tower Hamlets,Burglary,Not Recovered,May-2013
1,Bird,Newham,Theft and Handling,Not Recovered,May-2013
1,Bird,Newham,Theft and Handling,Not Recovered,May-2013
1,Dog,Hammersmith and Fulham,Theft and Handling,Not Recovered,May-2013
1,Dog,Southwark,Theft and Handling,Not Recovered,May-2013
1,Mammal (exc Cat and Dog),Greenwich,Theft and Handling,Not Recovered,May-2013
1,Reptile,Hillingdon,Burglary,Not Recovered,May-2013
2,Mammal (exc Cat and Dog),Croydon,Burglary,Not Recovered,Jun-2013
1,Dog,Redbridge,Theft and Handling,Recovered,Jun-2013
1,Dog,Kingston upon Thames,Theft and Handling,Not Recovered,Jun-2013
1,Mammal (exc Cat and Dog),Ealing,Theft and Handling,Not Recovered,Jun-2013
1,Dog,Camden,Theft and Handling,Recovered,Jun-2013
1,Dog,Bromley,Theft and Handling,Not Recovered,Jun-2013
1,Dog,Enfield,Theft and Handling,Recovered,Jun-2013
1,Dog,Kingston upon Thames,Theft and Handling,Not Recovered,Jun-2013
4,Bird,Hounslow,Theft and Handling,Not Recovered,Jun-2013
1,Dog,Tower Hamlets,Theft and Handling,Not Recovered,Jun-2013
1,Dog,Hammersmith and Fulham,Theft and Handling,Not Recovered,Jun-2013
1,Bird,Barnet,Theft and Handling,Not Recovered,Jun-2013
1,Dog,Ealing,Theft and Handling,Recovered,Jun-2013
1,Dog,Merton,Theft and Handling,Not Recovered,Jun-2013
1,Reptile,Greenwich,Burglary,Not Recovered,Jun-2013
1,Mammal (exc Cat and Dog),Croydon,Theft and Handling,Not Recovered,Jun-2013
1,Dog,Ealing,Theft and Handling,Recovered,Jun-2013
5,Fish,Barnet,Burglary,Not Recovered,Jun-2013
1,Dog,Barking and Dagenham,Burglary,Not Recovered,Jun-2013
1,Dog,Lewisham,Burglary,Not Recovered,Jun-2013
5,Cat,Bexley,Burglary,Not Recovered,Jun-2013
1,Dog,Greenwich,Burglary,Not Recovered,Jun-2013
1,Cat,Barking and Dagenham,Theft and Handling,Not Recovered,Jun-2013
1,Dog,Camden,Theft and Handling,Not Recovered,Jun-2013
2,Dog,Enfield,Violence Against the Person,Not Recovered,Jun-2013
1,Cat,Redbridge,Theft and Handling,Recovered,Jul-2013
1,Dog,Lambeth,Theft and Handling,Not Recovered,Jul-2013
1,Dog,Enfield,Theft and Handling,Not Recovered,Jul-2013
1,Dog,Islington,Theft and Handling,Not Recovered,Jul-2013
1,Bird,Croydon,Violence Against the Person,Not Recovered,Jul-2013
1,Dog,Bromley,Burglary,Recovered,Jul-2013
1,Dog,Barking and Dagenham,Burglary,Not Recovered,Jul-2013
1,Dog,Enfield,Theft and Handling,Not Recovered,Jul-2013
60,Fish,Newham,Theft and Handling,Not Recovered,Jul-2013
10,Fish,Croydon,Theft and Handling,Not Recovered,Jul-2013
1,Dog,Bexley,Violence Against the Person,Not Recovered,Jul-2013
2,Mammal (exc Cat and Dog),Barnet,Theft and Handling,Not Recovered,Jul-2013
1,Dog,Camden,Theft and Handling,Not Recovered,Jul-2013
1,Dog,Greenwich,Burglary,Not Recovered,Jul-2013
2,Bird,Tower Hamlets,Theft and Handling,Not Recovered,Jul-2013
1,Dog,Waltham Forest,Robbery,Recovered,Jul-2013
2,Fish,Waltham Forest,Theft and Handling,Not Recovered,Jul-2013
1,Dog,Wandsworth,Theft and Handling,Not Recovered,Jul-2013
1,Dog,Croydon,Theft and Handling,Not Recovered,Jul-2013
1,Dog,Kingston upon Thames,Theft and Handling,Not Recovered,Jul-2013
1,Dog,Hounslow,Theft and Handling,Not Recovered,Jul-2013
1,Dog,Waltham Forest,Theft and Handling,Not Recovered,Jul-2013
1,Dog,Greenwich,Theft and Handling,Not Recovered,Jul-2013
1,Reptile,Waltham Forest,Theft and Handling,Not Recovered,Jul-2013
200,Bird,Enfield,Theft and Handling,Not Recovered,Jul-2013
1,Dog,Camden,Theft and Handling,Not Recovered,Jul-2013
1,Reptile,Bromley,Theft and Handling,Not Recovered,Jul-2013
1,Dog,Croydon,Burglary,Not Recovered,Jul-2013
1,Dog,Islington,Theft and Handling,Not Recovered,Jul-2013
1,Dog,Bromley,Theft and Handling,Recovered,Jul-2013
1,Cat,Redbridge,Theft and Handling,Not Recovered,Jul-2013
1,Mammal (exc Cat and Dog),Enfield,Theft and Handling,Not Recovered,Jul-2013
1,Dog,Lambeth,Theft and Handling,Not Recovered,Aug-2013
1,Dog,Haringey,Theft and Handling,Not Recovered,Aug-2013
1,Dog,Enfield,Theft and Handling,Not Recovered,Aug-2013
1,Reptile,Haringey,Theft and Handling,Not Recovered,Aug-2013
1,Cat,Sutton,Theft and Handling,Not Recovered,Aug-2013
1,Fish,Hillingdon,Theft and Handling,Not Recovered,Aug-2013
1,Dog,Hounslow,Theft and Handling,Not Recovered,Aug-2013
1,Dog,Hounslow,Theft and Handling,Not Recovered,Aug-2013
8,Bird,Greenwich,Burglary,Not Recovered,Aug-2013
1,Dog,Lewisham,Theft and Handling,Not Recovered,Aug-2013
1,Reptile,Bromley,Burglary,Not Recovered,Aug-2013
32,Fish,Lewisham,Theft and Handling,Not Recovered,Aug-2013
1,Dog,Hackney,Theft and Handling,Not Recovered,Aug-2013
2,Mammal (exc Cat and Dog),Bexley,Theft and Handling,Not Recovered,Aug-2013
1,Dog,Wandsworth,Theft and Handling,Not Recovered,Aug-2013
1,Cat,Havering,Theft and Handling,Not Recovered,Aug-2013
1,Dog,Barking and Dagenham,Theft and Handling,Not Recovered,Aug-2013
1,Dog,Enfield,Theft and Handling,Not Recovered,Aug-2013
1,Dog,Barnet,Theft and Handling,Not Recovered,Aug-2013
1,Dog,Barnet,Theft and Handling,Not Recovered,Aug-2013
1,Dog,Richmond upon Thames,Theft and Handling,Recovered,Aug-2013
1,Dog,Bromley,Theft and Handling,Not Recovered,Aug-2013
1,Reptile,Croydon,Theft and Handling,Not Recovered,Aug-2013
1,Dog,Greenwich,Theft and Handling,Not Recovered,Sep-2013
1,Dog,Waltham Forest,Theft and Handling,Recovered,Sep-2013
1,Dog,Bexley,Burglary,Not Recovered,Sep-2013
1,Dog,Hounslow,Theft and Handling,Recovered,Sep-2013
1,Dog,Islington,Theft and Handling,Not Recovered,Sep-2013
1,Dog,Southwark,Violence Against the Person,Not Recovered,Sep-2013
1,Mammal (exc Cat and Dog),Bexley,Theft and Handling,Not Recovered,Sep-2013
6,Fish,Sutton,Theft and Handling,Not Recovered,Sep-2013
1,Cat,Barking and Dagenham,Theft and Handling,Not Recovered,Sep-2013
1,Dog,Hammersmith and Fulham,Robbery,Recovered,Sep-2013
40,Bird,Richmond upon Thames,Burglary,Not Recovered,Sep-2013
1,Dog,Wandsworth,Theft and Handling,Not Recovered,Oct-2013
1,Dog,Ealing,Violence Against the Person,Recovered,Oct-2013
1,Mammal (exc Cat and Dog),Hillingdon,Theft and Handling,Not Recovered,Oct-2013
1,Cat,Kensington and Chelsea,Theft and Handling,Not Recovered,Oct-2013
1,Dog,Hammersmith and Fulham,Theft and Handling,Recovered,Oct-2013
1,Dog,Bexley,Burglary,Not Recovered,Oct-2013
1,Dog,Tower Hamlets,Theft and Handling,Not Recovered,Oct-2013
1,Dog,Waltham Forest,Theft and Handling,Not Recovered,Oct-2013
1,Dog,Hillingdon,Theft and Handling,Not Recovered,Oct-2013
1,Cat,Waltham Forest,Theft and Handling,Not Recovered,Oct-2013
1,Mammal (exc Cat and Dog),Hillingdon,Theft and Handling,Not Recovered,Oct-2013
1,Mammal (exc Cat and Dog),Hillingdon,Theft and Handling,Not Recovered,Oct-2013
1,Dog,Tower Hamlets,Theft and Handling,Not Recovered,Oct-2013
1,Cat,Hillingdon,Criminal Damage,Not Recovered,Oct-2013
1,Dog,Haringey,Theft and Handling,Not Recovered,Oct-2013
1,Dog,Bexley,Burglary,Not Recovered,Oct-2013
1,Dog,Bexley,Burglary,Not Recovered,Oct-2013
1,Dog,Bexley,Burglary,Not Recovered,Oct-2013
1,Dog,Bexley,Burglary,Not Recovered,Oct-2013
1,Dog,Bexley,Burglary,Not Recovered,Oct-2013
1,Dog,Bexley,Burglary,Not Recovered,Oct-2013
1,Dog,Bexley,Burglary,Not Recovered,Oct-2013
1,Dog,Bexley,Burglary,Not Recovered,Oct-2013
1,Dog,Enfield,Theft and Handling,Not Recovered,Oct-2013
1,Dog,Kingston upon Thames,Burglary,Not Recovered,Nov-2013
1,Dog,Barnet,Theft and Handling,Recovered,Nov-2013
1,Dog,Haringey,Theft and Handling,Not Recovered,Nov-2013
1,Dog,Kingston upon Thames,Theft and Handling,Not Recovered,Nov-2013
1,Dog,Merton,Theft and Handling,Recovered,Nov-2013
1,Dog,Barking and Dagenham,Theft and Handling,Not Recovered,Nov-2013
1,Dog,Barking and Dagenham,Violence Against the Person,Recovered,Nov-2013
1,Dog,Redbridge,Burglary,Not Recovered,Nov-2013
1,Dog,Merton,Theft and Handling,Not Recovered,Nov-2013
1,Dog,Hammersmith and Fulham,Theft and Handling,Not Recovered,Nov-2013
1,Mammal (exc Cat and Dog),Hackney,Theft and Handling,Not Recovered,Nov-2013
1,Mammal (exc Cat and Dog),Hackney,Theft and Handling,Not Recovered,Nov-2013
1,Dog,Harrow,Theft and Handling,Not Recovered,Nov-2013
1,Dog,Bromley,Theft and Handling,Not Recovered,Nov-2013
1,Mammal (exc Cat and Dog),Greenwich,Theft and Handling,Not Recovered,Nov-2013
1,Cat,Waltham Forest,Theft and Handling,Not Recovered,Nov-2013
1,Cat,Waltham Forest,Theft and Handling,Not Recovered,Nov-2013
1,Dog,Ealing,Theft and Handling,Not Recovered,Nov-2013
1,Insect,Waltham Forest,Theft and Handling,Not Recovered,Nov-2013
1,Dog,Ealing,Theft and Handling,Not Recovered,Dec-2013
1,Dog,Hackney,Theft and Handling,Not Recovered,Dec-2013
1,Cat,Brent,Theft and Handling,Not Recovered,Dec-2013
2,Dog,Hillingdon,Theft and Handling,Not Recovered,Dec-2013
1,Dog,Hillingdon,Theft and Handling,Not Recovered,Dec-2013
1,Dog,Sutton,Theft and Handling,Not Recovered,Dec-2013
1,Dog,Hackney,Theft and Handling,Not Recovered,Dec-2013
1,Dog,Enfield,Burglary,Not Recovered,Dec-2013
7,Bird,Hounslow,Theft and Handling,Not Recovered,Dec-2013
1,Mammal (exc Cat and Dog),Hillingdon,Theft and Handling,Not Recovered,Dec-2013
1,Dog,Bromley,Theft and Handling,Not Recovered,Dec-2013
1,Dog,Croydon,Theft and Handling,Not Recovered,Dec-2013
1,Cat,Enfield,Theft and Handling,Not Recovered,Dec-2013
1,Dog,Hillingdon,Theft and Handling,Recovered,Dec-2013
1,Dog,Southwark,Burglary,Recovered,Dec-2013
1,Cat,Newham,Theft and Handling,Not Recovered,Dec-2013
1,Dog,Hillingdon,Theft and Handling,Not Recovered,Dec-2013
1,Dog,Haringey,Theft and Handling,Not Recovered,Dec-2013
1,Dog,Barnet,Theft and Handling,Not Recovered,Dec-2013
1,Dog,Kensington and Chelsea,Theft and Handling,Not Recovered,Dec-2013
1,Cat,Barnet,Burglary,Recovered,Dec-2013
1,Dog,Wandsworth,Theft and Handling,Recovered,Dec-2013
1,Dog,Richmond upon Thames,Theft and Handling,Not Recovered,Dec-2013
1,Cat,Barking and Dagenham,Theft and Handling,Not Recovered,Dec-2013
1,Dog,Hackney,Theft and Handling,Not Recovered,Jan-2014
1,Dog,Redbridge,Burglary,Not Recovered,Jan-2014
1,Dog,Croydon,Theft and Handling,Not Recovered,Jan-2014
1,Dog,Wandsworth,Burglary,Recovered,Jan-2014
1,Dog,Barnet,Theft and Handling,Not Recovered,Jan-2014
1,Cat,Bromley,Theft and Handling,Not Recovered,Jan-2014
1,Dog,Westminster,Theft and Handling,Not Recovered,Jan-2014
1,Dog,Southwark,Burglary,Not Recovered,Jan-2014
1,Dog,Haringey,Theft and Handling,Not Recovered,Jan-2014
1,Cat,Barnet,Burglary,Not Recovered,Jan-2014
1,Dog,Newham,Theft and Handling,Not Recovered,Jan-2014
1,Mammal (exc Cat and Dog),Bromley,Theft and Handling,Not Recovered,Jan-2014
1,Dog,Sutton,Theft and Handling,Not Recovered,Jan-2014
1,Dog,Hillingdon,Theft and Handling,Not Recovered,Jan-2014
8,Dog,Havering,Theft and Handling,Not Recovered,Jan-2014
1,Dog,Wandsworth,Theft and Handling,Not Recovered,Jan-2014
1,Dog,Ealing,Theft and Handling,Not Recovered,Jan-2014
1,Dog,Enfield,Theft and Handling,Not Recovered,Jan-2014
1,Dog,Sutton,Theft and Handling,Not Recovered,Feb-2014
1,Dog,Westminster,Theft and Handling,Not Recovered,Feb-2014
1,Dog,Hackney,Robbery,Not Recovered,Feb-2014
2,Bird,Ealing,Burglary,Not Recovered,Feb-2014
1,Dog,Greenwich,Theft and Handling,Not Recovered,Feb-2014
1,Cat,Westminster,Theft and Handling,Not Recovered,Feb-2014
1,Dog,Hackney,Theft and Handling,Recovered,Feb-2014
1,Cat,Brent,Theft and Handling,Not Recovered,Feb-2014
1,Dog,Hackney,Theft and Handling,Not Recovered,Feb-2014
1,Mammal (exc Cat and Dog),Hillingdon,Theft and Handling,Not Recovered,Feb-2014
1,Mammal (exc Cat and Dog),Hillingdon,Theft and Handling,Not Recovered,Feb-2014
1,Mammal (exc Cat and Dog),Merton,Theft and Handling,Not Recovered,Feb-2014
1,Dog,Barnet,Theft and Handling,Not Recovered,Feb-2014
1,Bird,Harrow,Theft and Handling,Not Recovered,Feb-2014
1,Bird,Harrow,Theft and Handling,Not Recovered,Feb-2014
1,Dog,Bexley,Theft and Handling,Not Recovered,Feb-2014
1,Cat,Croydon,Burglary,Recovered,Feb-2014
1,Dog,Hillingdon,Burglary,Not Recovered,Feb-2014
1,Dog,Bromley,Robbery,Recovered,Feb-2014
1,Dog,Waltham Forest,Violence Against the Person,Not Recovered,Feb-2014
1,Dog,Southwark,Theft and Handling,Not Recovered,Feb-2014
1,Dog,Bromley,Theft and Handling,Not Recovered,Feb-2014
1,Cat,Westminster,Robbery,Not Recovered,Mar-2014
1,Cat,Westminster,Robbery,Not Recovered,Mar-2014
1,Dog,Croydon,Burglary,Recovered,Mar-2014
2,Reptile,Lewisham,Theft and Handling,Recovered,Mar-2014
1,Dog,Lewisham,Theft and Handling,Not Recovered,Mar-2014
1,Dog,Bromley,Burglary,Not Recovered,Mar-2014
1,Dog,Merton,Theft and Handling,Not Recovered,Mar-2014
1,Dog,Barnet,Theft and Handling,Not Recovered,Mar-2014
2,Bird,Lewisham,Theft and Handling,Not Recovered,Mar-2014
6,Bird,Lewisham,Theft and Handling,Not Recovered,Mar-2014
3,Reptile,Bromley,Burglary,Not Recovered,Mar-2014
1,Dog,Barking and Dagenham,Theft and Handling,Not Recovered,Mar-2014
1,Dog,Barking and Dagenham,Burglary,Not Recovered,Mar-2014
1,Cat,Waltham Forest,Theft and Handling,Not Recovered,Mar-2014
20,Bird,Croydon,Burglary,Not Recovered,Mar-2014
1,Dog,Lambeth,Burglary,Not Recovered,Mar-2014
1,Dog,Hounslow,Burglary,Not Recovered,Mar-2014
1,Cat,Westminster,Theft and Handling,Not Recovered,Mar-2014
1,Dog,Hillingdon,Theft and Handling,Not Recovered,Mar-2014
1,Dog,Newham,Theft and Handling,Not Recovered,Mar-2014
1,Dog,Camden,Theft and Handling,Not Recovered,Mar-2014
1,Dog,Barnet,Burglary,Not Recovered,Mar-2014
1,Dog,Barnet,Burglary,Not Recovered,Mar-2014
1,Dog,Havering,Theft and Handling,Not Recovered,Mar-2014
1,Bird,Enfield,Burglary,Not Recovered,Mar-2014
1,Bird,Enfield,Burglary,Not Recovered,Mar-2014
1,Bird,Enfield,Burglary,Not Recovered,Mar-2014
1,Bird,Enfield,Burglary,Not Recovered,Mar-2014
2,Dog,Barking and Dagenham,Robbery,Not Recovered,Mar-2014
20,Fish,Barking and Dagenham,Theft and Handling,Not Recovered,Mar-2014
1,Dog,Lambeth,Burglary,Recovered,Mar-2014
1,Dog,Southwark,Burglary,Not Recovered,Mar-2014
1,Dog,Southwark,Burglary,Not Recovered,Mar-2014
1,Dog,Southwark,Burglary,Not Recovered,Mar-2014
1,Dog,Lambeth,Theft and Handling,Not Recovered,Mar-2014
4,Bird,Bromley,Burglary,Not Recovered,Mar-2014
1,Dog,Wandsworth,Theft and Handling,Recovered,Mar-2014
1,Dog,Hounslow,Theft and Handling,Not Recovered,Mar-2014
1,Dog,Greenwich,Theft and Handling,Not Recovered,Mar-2014
